,0,1,2,3,4,5
27,wcd_1000-klassiekers-de-_4-non-blondes_mp3_v0-vbr_31927995/VA_-_1000_Klassiekers_De_Absolute_Top_Vol_6-5CD-REPACK-2014-DDS/403_plastic_bertrand_-_ca_plane_pour_moi-repack.mp3,4 Non Blondes,Ça Plane Pour Moi,177.06,https://www.youtube.com/watch?v=xTo79sPCVXA,
28,wcd_60-greatest-hits-am_kitty-wells_flac_lossless_30874915/60 Greatest Hits & Favorites [FLAC]/[Disc 1]/15 - Whose Shoulder Will You Cry On.flac,Kitty Wells,Whose Shoulder Will You Cry On,134.61,https://www.youtube.com/watch?v=lF8csy71vxA,
29,wcd_12_visa_flac_lossless_30952897/Visaプリペイド - スムーズOCEANS(flac)/Visaプリペイド - スムーズOCEANS - 09 Deep Relaxation.flac,Visaプリペイド,Deep Relaxation,170.34,https://www.youtube.com/watch?v=qZ1PNEIgPBc,
30,"wcd_2012-12-30---bill-gr_furthur_flac_lossless_30505108/Furthur - 2012-12-30 - Bill Graham Civic Auditorium, San Francisco/3-05 Box of Rain.flac",Furthur,Box of Rain,387.27,,
31,"wcd_2014-06-16-ziggo-dom_pearl-jam_flac_lossless_31584422/Pearl Jam - 2014-06-16 Amsterdam, NL/pj140616d1_05_All_Night.flac",Pearl Jam,All Night,365.32,,
32,wcd_2002-12-14---belk-au_the-tony-rice-unit_flac_lossless_29591573/Tony Rice Unit 2002-12-14(flac)/d1t05 Instrumental.flac,The Tony Rice Unit,Unknown Instrumental,289.01,,
33,wcd_1_30thdecember_flac_lossless_30651950/30thdecember - 1 [FLAC]/09. .flac,30thdecember,край,163.13,,
34,wcd_1073_-_flac_lossless_29160027/Oblachnyi Krai - Love of Life (1999) - FLAC/Oblachnyi Krai - 02 - Love of Life.flac,Облачный Край,Love of Life,234.09,,
35,wcd_1085__mp3_320_28888994/1984 - День серебра/14. Господин Одинокий журавль [bonus track].mp3,Аквариум,Господин Одинокий журавль [bonus track],100.1,,
36,wcd_2009-08-17-men-ar_pearl-jam_flac_lossless_1221658/Pearl_Jam_MAN_081709F/1-12 Save You.flac,Pearl Jam,Save You,238.57,https://www.youtube.com/watch?v=INx7Sb9ISM8,
37,wcd_56-vueltas-de-tuerca_geremy-barrios_mp3_320_29324243/Geremy Barrios – 56 Vueltas De Tuerca [CIRCUIT051] - 320 -WEB - 2011/La Catalana .mp3,Geremy Barrios,Catalana,427.54,,
38,"wcd_10-9-8-7-6-5-4-3-2-1_midnight-oil_flac_lossless_821114/1983 - 10,9,8,7,6,5,4,3,2,1/10 - Somebody's Trying To Tell Me Something.flac",Midnight Oil,Somebody's Trying To Tell Me Something,242.73,https://www.youtube.com/watch?v=GlKXvznqSu8,
39,wcd_862004-skyline-sta_umphreys-mcgee_mp3_v0-vbr_28938853/um2004-08-06.v0/um2004-08-06d1t04.mp3,Umphrey's McGee,Sociable Jimmy,1038.55,,
40,wcd_2009-09-11---saranac_the-black-crowes_flac_lossless_31089833/bc 2009-09-11 utica/tbc090911d1_01_Good_Morning_Captain.flac,The Black Crowes,Good Morning Captain,221.31,,
41,wcd_a-month-of-sundays_cady-groves_mp3_v0-vbr_29244563/Cady Groves - A Month Of Sundays - EP - V0/01 A Town Like This.mp3,Cady Groves,A Town Like This,203.31,https://www.youtube.com/watch?v=ApZxchJc9gM,
42,wcd_1993-2009_arizona-jaguar_flac_lossless_31648162/Arizona Jaguar - 1993-2009 [2009] (FLAC)/B1 Arizona Jaguar - Untitled.flac,Arizona Jaguar,Untitled,146.84,https://www.youtube.com/watch?v=2CNv9Sl4190,
43,wcd_81-matters-in-elemen_marko-ciciliani_flac_lossless_1339332/Marko Ciciliani - 81 Matters in Elemental Order/Sm.flac,Marko Ciciliani,Sm,51.5,,
44,wcd_2011-06-23---moscow_linkin-park_mp3_320_29512018/Linkin Park - Live in Red Square (2011)/07 No More Sorrow.mp3,Linkin Park,07 No More Sorrow,331.31,,
45,wcd_200-original-mega-ju_aaron-neville_flac_lossless_1597555/Various Artists - 1996 - 200 Original Mega Jukebox Hits [FLAC]/CD1/14 - Frankie Avalon - Why.flac,Aaron Neville,Why,157.89,,
46,wcd_20-ans-de-ginette_tetes-raides_flac_lossless_889528/Les tetes raides - 20 ans de ginette/18J'ai menti.flac,Têtes Raides,Track18,256.98,,
47,wcd_100-essential-carols_angelic-voices_flac_lossless_29072464/100 Essential Carols & Hymns For Christmas - Various Artists [2010] [FLAC]/Disc 3/18. All This Time.flac,Angelic Voices,All This Time,115.91,,
48,wcd_100-best-gold-trap-_defreight_mp3_320_32977881/VA-100_Best_Gold_Trap_And_Bass_Tracks-WEB-2016-iHR/097-nextro-infected_(original_mix).mp3,DeFreight,Infected (Original Mix),253.07,,
49,"wcd_10152008-the-red-s_eoto_mp3_v0-vbr_30015631/EOTO 2008-10-15 V0/EOTO - 2008／10／15 I Albany, NY (2008) [LAME MP3] 03 - Rittage.mp3",EOTO,Rittage,355.89,,
