,0,1,2,3,4,5
256,wcd_a-time-to-remember-_bobbie-gentry_flac_lossless_30442161/A Time To Remember 1969 [FLAC]/04 - Glen Campbell - Wichita Lineman [1969].flac,Bobbie Gentry,Wichita Lineman,184.71,,
257,"wcd_2000-06-29-oslo-no_pearl-jam_flac_lossless_1305646/2000-06-29, Norway (#25)/d1/08. Nothing As It Seems.flac",Pearl Jam,Nothing As It Seems,341.73,https://www.youtube.com/watch?v=30BlueyXoyg,
258,wcd_a-sunset-panorama_logh_mp3_v0-vbr_40740/Logh - A Sunset Panorama (Japan Edition)/02 - Logh - Fell Into the Well.mp3,Logh,Fell Into the Well,223.76,https://www.youtube.com/watch?v=V-RWgdOuCEM,
259,"wcd_2011-02-22---termina_trey-anastasio_flac_24bit-lossless_29259852/Trey Anastasio - 2011-02-22 - Terminal 5 - New York, NY [FLACHD]/trey110222d1_12_Stealing_Time_From_The_Faulty_Plan.flac",Trey Anastasio,Stealing Time From The Faulty Plan,255.31,,
260,wcd_a-wilder-alias_jackie-cain_flac_lossless_30679397/Jackie Cain & Roy Kral - A Wilder Alias (1974) [FLAC]/03 - Waltz For Dana.flac,Jackie Cain,Waltz For Dana,262.49,,
261,wcd_10-07-2007-orpheum-t_the-black-crowes_flac_lossless_29224288/crowes2007-10-07bcrs.flac/tbc071007d1_01_Only_Halfway_To_Everywhere.flac,The Black Crowes,Halfway To Everywhere,573.7,,
262,wcd_1078__flac_lossless_30729035/Юта - Рожь и клевер [FLAC]/03 - За...бало.flac,Юта,За...бало,198.8,https://www.youtube.com/watch?v=r29k_T_o9To,
263,wcd_50th-anniversary-cra_crazy-cats-_mp3_v0-vbr_30827208/クレイジーキャッツ - 2005 - クレイジーキャッツ HONDARA盤 [V0]/Disc 2/19 - 虹を渡って来た男.mp3,Crazy Cats (クレイジーキャッツ),虹を渡って来た男,147.91,,
264,"wcd_2016-01-15-island-ex_govt-mule_flac_24bit-lossless_33001653/Gov't Mule - 2016-01-15 Island Exodus, Negril, JM/mule160115d1_01_Exodus_Jam.flac",Gov't Mule,Exodus Jam,425.01,,
265,wcd_50th-birthday-celebr_john-zorn_flac_lossless_948988/Milford Graves and John Zorn - 50th Birthday Vol 2 (2004) [FLAC] {Tzadik 5002}/07 - Synchronicity.flac,John Zorn,Synchronicity,459.31,,
266,wcd_4am-friday_avail_flac_lossless_906697/Avail - 2006 - 4AM Friday/05 - McCarthy.flac,Avail,McCarthy,147.13,https://www.youtube.com/watch?v=Rx67BAyqIIo,
267,"wcd_a-clockwork-orange_wendy-carlos_mp3_256_28994166/Clockwork Orange, A (1971, 1972 LP Fold-out cover, 256k) - Walter Carlos/02 - The Thieving Magpie (Abridged).mp3",Wendy Carlos,The Thieving Magpie (Abridged),360.2,https://www.youtube.com/watch?v=Ceh0-42FXg0,
268,wcd_1074__flac_lossless_836386/2007 - Girls Sing/10 Auktyon - Girls Sing.flac,АукцЫон,Girls Sing,684.69,,
269,wcd_90s-summer-party_apache-indian_flac_lossless_1653231/VA-90s.Summer.Party.2010.[FLAC]-Dang3/CD2/09. Big Mountain - Baby I Love Your Way.flac,Apache Indian,Baby I Love Your Way,267.92,https://www.youtube.com/watch?v=IWIxA7M_-ZA,
270,"wcd_2016-0_dopapod_mp3_v0-vbr_33024551/Dopapod - 2016​-​04​-​27 BSP Kingston, Kingston, NY [V0]/Dopapod - 2016-04-27 BSP Kingston, Kingston, NY - 12 Picture In Picture.mp3",Dopapod,Picture In Picture,1095.97,,
271,wcd_a-love-supreme---the_will-downing_flac_lossless_30433997/Will Downing - A Love Supreme The Collection (2003) [FLAC]/16-Where Is The Love.flac,Will Downing,Where Is The Love,217.75,https://www.youtube.com/watch?v=poONRgV9yB4,
272,"wcd_2006-11-08-sydney-a_pearl-jam_flac_lossless_29836709/Pearl Jam - 2006-11-08, Acer Arena, Sydney, Australia [FLAC]/02 Hail Hail.flac",Pearl Jam,"Hail, Hail",218.69,,
273,"wcd_1964-10-20---indiana_dave-van-ronk_flac_lossless_30101558/1964-10-20 - Dave Van Ronk - indiana university, bloomington - soundboard/d1t10 - Talk about Buddy Bolden's Blues.flac",Dave Van Ronk,Talk about Buddy Bolden's Blues,59.45,,
274,wcd_1942-1945-chronolog_artie-shaw_flac_lossless_31957796/Artie Shaw - 1942-1945 (FLAC) {Chronological Classics 1242}/08 Lady Day.flac,Artie Shaw,Lady Day,185.01,https://www.youtube.com/watch?v=JcOkgI-5Jvc,
275,"wcd_1991-03-20---capital_grateful-dead_flac_lossless_31620264/Grateful Dead - 1991-03-20 - Capital Centre - Landover, MD - FLAC/109 Might As Well.flac",Grateful Dead,Might As Well,275.12,,
276,"wcd_20061031-riviera-t_the-black-crowes_flac_lossless_30398972/The Black Crowes - 2006:10:31 Riviera Theatre, Chicago, IL (FLAC).flac/tbc061031d2_07_Corrina_Corrina.flac",The Black Crowes,Corrina Corrina,244.13,,
277,wcd_1085_-_flac_lossless_28891768/Пикник и Вадим Самойлов - 2004 - Тень вампира [GR CD - 357]/11 - Бисер у ног.flac,Вадим Самойлов,Бисер у ног,61.17,,
278,"wcd_2013-08-16---peach-f_the-allman-brothers-_flac_lossless_31016578/The Allman Brothers Band - 2013-08-16 Scranton, PA, US [FLAC]/301-Don't Keep Me Wonderin'.flac",The Allman Brothers Band,Don't Keep Me Wonderin',413.21,,
279,"wcd_2012-04-21---fox-the_sound-tribe-sector-9_mp3_320_30033534/2012.04.21 __ Fox Theater __ Oakland, CA/01 Narration.mp3",Sound Tribe Sector 9,Narration,114.68,,
280,wcd_absolute-music-61_alcazar_flac_lossless_30829591/Absolute_Music_61-2CD-FLAC-2009-LoKET/211-promoe-svennebanan.flac,Alcazar,Svennebanan,160.17,,
281,wcd_24_-xi-on_flac_lossless_30354303/[彩音 ～xi-on～] - 東方志奏 4th Spell -Gust of Wind- (2009) [FLAC]/06. 感情の摩天楼 ～ Cosmic Mind.flac,彩音 ～xi-on～,感情の摩天楼 ～ Cosmic Mind,231.46,https://www.youtube.com/watch?v=Nr0kyRgUWi0,
282,wcd_1998-06-30-nassau-co_the-other-ones_flac_lossless_30202076/too1998-06-30.sbd.91408.t-flac16/too1998-06-03d2_08_Touch_Of_Grey.flac,The Other Ones,Touch Of Grey,418.06,,
283,"wcd_2014-0_papadosio_flac_lossless_31344971/Papadosio - 2014-03-07 - The Fox Theatre - Boulder- CO FLAC/Papadosio - 2014-03-07 - The Fox Theatre - Boulder, CO - 01 You and Yourself.flac",Papadosio,You and Yourself,664.0,,
284,wcd_a-taste-of-free-form_cybersnack_flac_lossless_29582925/V.A. (novatekk 1999 ntd90520-07) a taste of free form (leo-rex) [FLAC]/02 - Medicine Drum - Siouxpernature - Medicine Drum - Siouxpernature.flac,Cybersnack,Siouxpernature,502.65,,
285,wcd_abc--d_blue-bamboo_flac_lossless_29161212/Blue Bamboo - 1994 - ABC & D/01 - ABC&D (Mista Radio Rhythm Remix).flac,Blue Bamboo,ABC&D (Mista Radio Rhythm Remix),191.8,,
286,wcd_a-portrait-of-nothin_balcony-view_flac_lossless_31500488/Balcony View - A Portrait of Nothing FLAC/06 Passing Of An Eternity.flac,Balcony View,Passing Of An Eternity,619.21,,
287,wcd_80s-dance-hits_billy-ocean_flac_lossless_30371238/80's Dance Hits - Various artists (1996) [FLAC]/08 - Grandmaster Flash - White Lines.flac,Billy Ocean,White Lines,238.09,,
288,wcd_2006-04-15-live-oak--fl_the-allman-broth_flac_lossless_29902636/The Allman Brothers Band - 2006-04-15 IL/Disc 1/01 - Hot Lanta .flac,The Allman Brothers Band,Hot 'Lanta,388.53,,
289,wcd_78-88_beatrice_flac_lossless_30011163/Beatrice - '78-'88 (2011)[FLAC] - Naftamusic/'88/09 - Fönn Tarnicán.flac,Beatrice,Fönn Tarnicán,256.61,https://www.youtube.com/watch?v=fI39116E5aA,
290,wcd_1500_danny-ben-israel_mp3_v0-vbr_1564095/Danny Ben-Israel - The Katmandu Sessions [V0]/05 - Seagulls.mp3,Danny Ben-Israel,Seagulls,357.83,https://www.youtube.com/watch?v=MiiyjT_CpHc,
291,"wcd_2007-11-05---nokia-t_phil-lesh--friends_flac_lossless_29764476/Phil Lesh & Friends-2007-11-05-Nokia Theatre-New York City, NY [Flac] [Web]/d1t01_Brown_Eyed_Women.flac",Phil Lesh & Friends,Brown Eyed Women,534.92,,
292,"wcd_34-fragments_dakim_flac_lossless_30035368/Dakim - 34 Fragments (Senufo Editions, 2012) - flac/20 Untitled.flac",Dakim,Untitled,211.48,,
293,wcd_a-weekend-in-the-cit_bloc-party_flac_lossless_5737/Bloc Party - A Weekend In The City (Japanese Release)/04 The Prayer.flac,Bloc Party,The Prayer,225.03,https://www.youtube.com/watch?v=xk2CvKcJnC4,
294,wcd_21st-century-records_aladino_flac_lossless_29541881/VA-21st_Century_Records_Collection_Dance_Music_Vol2-(CON244)-3CD-2011-DWM-lossless/206_-_the_dream_-_youre_the_best_thing-dwm.flac,Aladino,You're The Best Thing,399.45,,
295,wcd_20009_drakkar-sauna_mp3_v0-vbr_1100462/drakkar sauna - 20009 - V0 2009/10 Drakkar Sauna - What a Grateful Position this Island Assumes.mp3,Drakkar Sauna,What a Grateful Position this Island Assumes,246.6,,
296,"wcd_1991-04-16---r_phish_flac_lossless_1255963/19910416 Rick's American Cafe, Ann Arbor, MI/05 The Mango Song.flac",Phish,The Mango Song,383.49,https://www.youtube.com/watch?v=es_t8J6rkPU,
297,"wcd_2009-12-05---toronto_weezer_flac_lossless_30659779/Weezer - Official Bootleg - 12-5-09 - Toronto, CAN - FLAC/05 - Surf Wax America.flac",Weezer,Surf Wax America,206.28,,
298,wcd_16-lovers-lane-acous_the-go-betweens_flac_lossless_29591571/The Go-Betweens - 1996 - 16 Lovers Lane Acoustic Demos/11 - You've never lived.flac,The Go-Betweens,You've never lived,236.26,https://www.youtube.com/watch?v=9K4OHgHdQ-w,
299,"wcd_2012-05-08---usce-pa_metallica_flac_lossless_30326939/2012-05-08 Belgrade, SRB/met120508d2_16_Holier_Than_Thou.flac",Metallica,Holier Than Thou,248.96,,
300,"wcd_19960116-the-rack-_warren-zevon_mp3_v0-vbr_30541236/Warren Zevon - 1996:01:16 Colorado Springs, CO/Live 1_16_1996 Colorado Springs, CO (Disc 2)/04 Poor Poor Pitiful Me.mp3",Warren Zevon,Poor Poor Pitiful Me,365.92,,
301,wcd_a-cab-drivers-b_mem-shannon_flac_lossless_32013037/Mem Shannon/06 - Me And My Bed.flac,Mem Shannon,Me And My Bed,230.97,https://www.youtube.com/watch?v=Fiqo1V9DNx4,
302,wcd_39_tsai-hsiao-hu-_mp3_v0-vbr_30239984/a29 蔡小虎 - 夢春風 - v0/蔡小虎 - 夢春風 - 1.夢春風.mp3,Tsai Hsiao Hu (蔡小虎),夢春風,320.28,,
303,wcd_a-christmas-celebrat_bb-king_flac_lossless_562807/B. B. King - A Christmas Celebration of Hope/10 - Blue Decorations.flac,B.B. King,Blue Decorations,207.2,https://www.youtube.com/watch?v=QR6a4-xctr8,
304,wcd_38_various-artists_flac_lossless_30363044/et363 中古音乐大全：古琴卷/上集/CD1/03 - 广陵散.flac,Various Artists,广陵散,1352.0,,
305,wcd_a-portrait-of-cab-ca_cab-calloway_flac_lossless_1549784/Cab Calloway/Disc 2/15 Cab Calloway - The Workers Train.flac,Cab Calloway,The Workers Train,197.0,https://www.youtube.com/watch?v=fmJ4liAC4b4,
306,wcd_a-state-of-trance-60_airwave_flac_lossless_30800932/VA - A State of Trance 600 (2013) [FLAC]/DISC 5/04 Andrew Rayel - Aether.flac,Airwave,Aether,316.44,,
307,wcd_1941-1942-chronolog_artie-shaw_flac_lossless_29310167/Chronological Classics - 1206 - Artie Shaw (1941-1942)/09 - Beyond The Blue Horizon.flac,Artie Shaw,Beyond The Blue Horizon,172.22,https://www.youtube.com/watch?v=Su121Poh7gE,
308,wcd_23_zero-shaft_mp3_v0-vbr_30519163/Zero-Shaft - 2011 - 魔法少女まほロリっ/03. はぴねす☆そーさらー.mp3,Zero-Shaft,はぴねす☆そーさらー,242.76,,
309,wcd_a-portrait-for-strin_bruce-gaitsch_flac_lossless_30577356/Compilations - A Portrait for Strings (Unknown Year) [FLAC]/07 - Sandro Albert - Choro to Catarina.flac,Bruce Gaitsch,Choro to Catarina,193.44,,
310,wcd_10_yoko-absorbing_flac_lossless_30775095/Yoko Absorbing - 10/05Yoko_Absorbing_-_Parkway.flac,Yoko Absorbing,Parkway,318.95,https://www.youtube.com/watch?v=LpFCoYpvj_A,
311,wcd_a-positive-rage_the-hold-steady_mp3_192_800535/The Hold Steady - 2009 - A Positive Rage (Bonus Tracks)/05 40 Bucks.mp3,The Hold Steady,40 Bucks,242.63,https://www.youtube.com/watch?v=Qsbo8dbx0cU,
312,wcd_aaabest_aaa_mp3_320_30812765/C02 #AAABEST/12 CALL.mp3,AAA,CALL,267.72,,
313,wcd_9th-august-2009-off-_wire_mp3_v0-vbr_31588857/9th_August_2009_Off_Festival_Myslowice_Poland/07_Advantage_In_Height.mp3,Wire,Advantage In Height,123.9,,
314,"wcd_2008-07-13---queacu_linkin-park_mp3_320_29912927/Linkin Park Live - Plaines d'Abraham, Quebec City, Canada 7-13-08/04 Wake.mp3",Linkin Park,Wake 2.0 (Live in Quebec City),96.47,,
315,wcd_a-very-merry-bride-_bride--groom_flac_lossless_31847028/Bride & Groom - A Very Merry Bride & Groom Christmas/Bride & Groom - A Very Merry Bride & Groom Christmas - 03 Winter Wonderland.flac,Bride & Groom,Winter Wonderland,186.21,,
316,wcd_a-drunkards-mas_johnny-dowd_flac_lossless_254528/Johnny Dowd - A Drunkard's Masterpiece (2008)/10 - easy money.flac,Johnny Dowd,easy money,434.62,,
317,wcd_2013-01-25---the-wel_trey-anastasio_flac_24bit-lossless_30627173/2013-01-25/trey130125d1_07_Drifting.flac,Trey Anastasio,Drifting,379.24,,
318,"wcd_1980-06-19---west-hi_grateful-dead_flac_lossless_30864143/Grateful Dead - 1980-06-19 - West High Auditorium, Anchorage, AK - FLAC/205 Lost Sailor_.flac",Grateful Dead,Lost Sailor>,367.16,,
319,wcd_100-grime-instrument_a-2-da-g_flac_lossless_29208981/Compilation - 100 Grime Instrumentals Vol. 2 (Disks 1-6) [2006]/Compilations - 100 Grime Instrumentals Vol. 2 [Disc 5] (2006) [FLAC]/03 Baby.flac,A 2 da G,Baby,237.52,,
320,wcd_1497_t-slam_flac_lossless_28885570/תיסלם - 1981 - רדיו חזק/14 - Gimme Rock'n'roll.flac,T-Slam,Gimme Rock'n'roll,300.5,https://www.youtube.com/watch?v=v2AC41dglnM,
321,wcd_1946-1947-chronolog_eddie-davis_flac_lossless_31667326/1946-1947/17 Real Gone Guy.flac,Eddie Davis,Real Gone Guy,184.75,,
322,wcd_14-tracks-holo-core_alis_mp3_320_30783029/mp3-14tracks-14_tracks_Holo_Core/1-Haters.mp3,Alis,Haters,176.09,,
323,wcd_90125_yes_flac_lossless_30098504/Yes - 90125 [1983]  [Mini LP SHM-CD Remaster 2009 - Reissue 2012]/CD/10. %title%.flac,Yes,title%,236.68,,
324,wcd_a-long-time-listenin_agent-fresco_flac_lossless_29760490/Agent Fresco - A Long Time Listening (2010) [FLAC] {RECD009}/02 - He is Listening.flac,Agent Fresco,He is Listening,65.0,https://www.youtube.com/watch?v=R-ET2AJRTWE,
325,wcd_1079_-_flac_lossless_29475772/Pavel Kashin - Zhizn' 1995 FLAC100/09 - Kolybel'naya.flac,Павел Кашин,Kolybel'naya,207.3,https://www.youtube.com/watch?v=1wPI6zqksik,
326,wcd_-104_-_mp3_320_31658811/01. Шоу Трумана - Ко Всем Чертям (2011)/04. Шоу Трумана - Шоу Трумана.mp3,Шоу Трумана,Шоу Трумана,204.66,,
327,wcd_a-bestiary-of_the-creatures_flac_lossless_598651/Creatures - Bestiary/13 - Miss the Girl.flac,The Creatures,Miss the Girl,155.73,https://www.youtube.com/watch?v=BTMcZRcS4Co,
328,wcd_3440-of-john-fred-a_john-fred--his-play_flac_24bit-lossless_31879108/John Fred and His Playboys - 34;40 of John Fred and His Playboys - 1967 (Vinyl FLAC 24)/A4 - Down To The Boogaloo.flac,John Fred & His Playboy Band,Down To The Boogaloo,143.14,https://www.youtube.com/watch?v=dsbmx8uYfHc,
329,"wcd_1974-05-08--edinboro--pa_frank-zappa_flac_lossless_30011279/1974-05-08 - zappa - Edinboro, PA 137.50 - SBD - Elsewhere Bootleg (Pittylabelle)/Disc 1/740508-Edinboro-Elsewhere-Bootleg_d1 - 09 Montana.flac",Frank Zappa,09 Montana,143.52,,
330,"wcd_a-story-of-the-city_dunya-ensemble_mp3_320_30357343/A Story of The City - Constantinople, Istanbul [2011]/10. Dunya Ensemble, Schola Cantorum, Ensemble Trinitas, New England Mehterhane - Chanterai Pour Mon Courage.mp3",Dunya Ensemble,Chanterai pour mon courage,334.28,,
331,"wcd_2007-11-02---the-fil_railroad-earth_flac_lossless_1076866/2007-11-02 The Fillmore at TLA, Philadelphia, PA/rre071102d1_05_Crossing_the_Gap.flac",Railroad Earth,Crossing the Gap,305.72,,
332,"wcd_1074_jasmin_mp3_v0-vbr_29227437/Новогодний Хит 2011 - 2011 (LAME MP3 (V0))/10 - 10 - Макаровна - Далеко, далеко - Макаровна - Далеко, далеко.mp3",Jasmin,"10 - Макаровна - Далеко, далеко - Макаровна - Далеко, далеко",244.16,,
333,wcd_2009-june-11---le-po_the-fiery-furnaces_mp3_v0-vbr_986816/Fiery Furnaces 2009-06-11 V0/22 - Single Again.mp3,The Fiery Furnaces,Single Again,345.39,https://www.youtube.com/watch?v=hMwpDRSUq3g,
334,wcd_2-original-classic-a_crowded-house_flac_lossless_30453910/Crowded House - 2 Original Classic Albums 2011 (FLAC)/1991 Woodface/13 - She Goes On.flac,Crowded House,She Goes On,195.57,https://www.youtube.com/watch?v=A9XYmMKRsho,
335,wcd_6-concerti-la-_camerata-bern_flac_lossless_30378524/Alessandro Marcello - 6 oboe concertos/11 - Concierto no. 4 en mi - Largo appoggiato.flac,Camerata Bern,Concierto no. 4 in E major - 2. Largo appoggiato,186.49,,
336,wcd_2020--tmrevolution_tmrevolution_flac_24bit-lossless_33016360/T.M.Revolution ALL TIME BEST- FLAC/CD 3/11. Nana Mizuki×T.M.Revolution (水樹奈々×T.M.Revolution) - Kakumei Dualism (革命デュアリズム; Revolution Dualism).flac,T.M.Revolution,革命デュアリズム,240.23,https://www.youtube.com/watch?v=ierhDGlfAGA,
337,wcd_2009-08-15-shamy-bas_rumpke-mountain-boys_flac_lossless_1207175/rumpkemb2009-08-15/25 middle of the air ).flac,Rumpke Mountain Boys,middle of the air ),237.44,,
338,wcd_2006-10-09-house-of-blues--orlando--fl_w_flac_lossless_29878733/wsp 2006-10-09/wsp061009d2_05_Blue_Indian.flac,Widespread Panic,Blue Indian,289.45,https://www.youtube.com/watch?v=qTLlmiFgQRk,
339,wcd_1990-10-31---a_phish_flac_lossless_1516431/Phish - 10.31.1990 - FLAC/ph901031d1_10_Cavern.flac,Phish,ph901031d1 10 Cavern,270.46,,
340,"wcd_2013-11-23-la-sports_pearl-jam_flac_24bit-lossless_31328272/Pearl Jam 2013-11-23 LA Sports Arena, Los Angeles, CA (24bit WEB FLAC)/pj131123d1_07_Why_Go.flac",Pearl Jam,Why Go,328.95,,
341,"wcd_2011-02-17---moe39_animal-liberation-or_flac_lossless_30177960/Animal Liberation Orchestra - [SBD] 2011-02-17 Santa Cruz, CA [FLAC]/12 Love and Happiness.flac",Animal Liberation Orchestra,Love and Happiness,424.92,https://www.youtube.com/watch?v=izzDAKiq8LI,
342,wcd_2011-10-06---thomas-_trey-anastasio_flac_24bit-lossless_29649013/trey2011-10-06.sbd.livephish.flac24/trey111006d1_05_Burn_That_Bridge.flac,Trey Anastasio,Burn That Bridge,340.61,https://www.youtube.com/watch?v=vGnZ1qpY_jo,
343,wcd_3rd-annual-concert-t_sf-jazz-collective_mp3_v1-vbr_1221967/SF Jazz Collective - 2006/Disc 2/05 - imminent treasures.mp3,SF Jazz Collective,Imminent Treasures,538.54,,
344,wcd_a-revolution-of-pure_drop-city_flac_lossless_1123594/Drop City - A Revolution Of Purely Private Expectations - 1994/08 - Worlds Apart.flac,Drop City,Worlds Apart,244.96,,
345,wcd_10-years-of-sattva-m_gandalf_flac_lossless_1348470/Various Artists - 10 Years - 1997 [FLAC]/18 - Wang Shanti & Hsun Wang - Buddha Realm.flac,Gandalf,Buddha Realm,157.62,,
346,wcd_100-hits-dancefloor-_above--beyond_mp3_320_30163801/100 Hits Dancefloor 2012 (2012)/CD 5/11. Jericho Ismael feat. Vuk Lazar - Highway.mp3,Above & Beyond,Highway,246.41,https://www.youtube.com/watch?v=gN74kpQy1n0,
347,wcd_414_ontervjabbit_flac_lossless_31178337/Ontervjabbit - 414 (2013) [FLAC]/05 - Hume.flac,Ontervjabbit,Hume,558.25,,
348,"wcd_1982-02-01---the-bir_steve-goodman_flac_lossless_30360460/1982-02-01 - Steve Goodman - The Birchmere, Alexandria, VA/disc1/01 - It's Midnight and I'm Not Famous Yet.flac",Steve Goodman,It's Midnight and I'm Not Famous Yet,170.88,,
349,wcd_1997-12-11---r_phish_flac_lossless_1219729/ph19971211 flac/11 Big Black Furry Creature From Mars.flac,Phish,Big Black Furry Creature From Mars->,409.02,https://www.youtube.com/watch?v=56BPNxm5AAA,
350,wcd_2009-10-04-verizon-w_widespread-panic_flac_lossless_1161685/WSP.2009.10.04.Charlotte.NC.Night.2.SBD.flac.16/wsp091004d1_05_Heroes.flac,Widespread Panic,Heroes,308.64,https://www.youtube.com/watch?v=fl0veIGoQsk,
351,wcd_9-symphonies_gwyneth-jones_flac_lossless_1125954/Beethoven - Symphonies - Karl Bohm(DG-Japan)[FLAC]/CD 4/03 Karl Bohm Wiener Philharmoniker - III. Lustiges Zusammensein der Landleute- Allegro.flac,Gwyneth Jones,III. Lustiges Zusammensein der Landleute: Allegro,349.43,,
352,wcd_a-love-extreme_benji-hughes_mp3_v0-vbr_1053732/Benji Hughes - A Love Extreme 2008 (v0)/Disc 2/04 So Well.mp3,Benji Hughes,So Well,182.15,https://www.youtube.com/watch?v=x-NGz25M1xE,
353,wcd_a-f-records-and-lock_american-armada_flac_lossless_29085177/VA - 2007-2008 A-F Records Sampler (2008) [FLAC]/05 Prophecy Fulfilled.flac,American Armada,Prophecy Fulfilled,318.64,,
354,"wcd_2013-12-30----atlant_widespread-panic_flac_lossless_31253336/WSP - 2013-12-30 - Atlanta Symphony Hall - Atlanta, GA [FLAC]/wsp131230d2_01_Good_People.flac",Widespread Panic,Good People,379.93,,
355,"wcd_2002-04-10---music-h_the-string-cheese-in_flac_lossless_30219792/sci2002-04-10 - Music Hall, Omaha, NE/Disc 1/01. Intro.flac",The String Cheese Incident,Intro,64.22,,
356,wcd_-107_flac_lossless_29945626/Земфира - Бульвар Звёзд (Zемфира) [FLAC]/08 - Скандал.flac,Земфира,Скандал,164.48,https://www.youtube.com/watch?v=PDP3j8HjBm0,
357,wcd_1980-03-06_tom-petty--the-hear_mp3_192_1248533/Tom Petty & the Heartbreakers 1980-3-6/Track10 talk.mp3,Tom Petty & the Heartbreakers,talk,99.42,,
358,wcd_15n-broke-and-_beezle_flac_lossless_31110674/Beezle - 15'n Broke and Almost Famous (2013) [FLAC]/09 The Apology.flac,Beezle,The Apology,255.35,,
359,"wcd_a-call-to-irons-a-t_abattoir_flac_lossless_641039/Various Artists - A Call to Irons; A Tribute to Iron Maiden, Vol. 1-2/202 - Steel Prophet , Gangland.flac",Abattoir,Steel Prophet / Gangland,232.77,https://www.youtube.com/watch?v=wpNrJXUyrAE,
360,wcd_12-days-of-christmas_manchester-orchestra_mp3_192_30156837/Manchester Orchestra - 12 Days of Christmas (2009) [192]/12 O Holy Night.mp3,Manchester Orchestra,O Holy Night,176.38,,
361,"wcd_21_teresa-teng-_flac_lossless_30854989/Teresa Teng (邓丽君) - 邓丽君纪念特辑 Vol. 3, 爱的箴言 (2005) - [FLAC]/03 - 不着痕迹 (Leaving No Traces).flac",Teresa Teng (鄧麗君),不着痕迹 (Leaving No Traces),249.16,https://www.youtube.com/watch?v=mvgBaTjZ0OY,
362,"wcd_1995-05-19---huntrid_widespread-panic_flac_lossless_30860950/Widespread Panic - 1995-05-19 - Huntridge Theatre, Las Vegas, NV/11 - Get Up Early In The Morning.flac",Widespread Panic,Get Up Early In The Morning,322.59,,
363,wcd_2016-06-26-red-rocks_widespread-panic_flac_24bit-lossless_33031274/WSP 2016-06-26 SBD FLAC 24/wsp160626d3_03_The_Low_Spark_Of_HighHeeled_Boys.flac,Widespread Panic,The Low Spark Of High-Heeled Boys,622.94,,
364,wcd_a-tower-records-trib_bobby-mcferrin_flac_lossless_30333006/Various Artists - A Tower Records Tribute To The Beatles (Unknown Year) [FLAC]/01 One After 909.flac,Bobby McFerrin,One After 909,214.2,,
365,wcd_1000-twitter-followe_dubzta_mp3_320_33034511/Dubzta - 1000 Twitter Followers EP (2016) [320]/15 Distant Planet.mp3,Dubzta,Distant Planet,339.75,,
366,"wcd_2006-05-16-chicago-_pearl-jam_flac_lossless_217772/Pearl Jam - Chicago, IL 5-16-2006 (2006) [FLAC]/27 Blood.flac",Pearl Jam,Blood,196.0,https://www.youtube.com/watch?v=b-Nz0vHSxMw,
367,wcd_100-hits-volume-8_ab-logic_flac_lossless_914311/1993 - 100% Hits Volume 8/03 - (The Cruel Sea) - Black Stick.flac,AB Logic,Black Stick,300.76,https://www.youtube.com/watch?v=xvZqHgFz51I,
368,wcd_1st-album_bubble-sisters-_flac_lossless_28975219/[직]1집 - Bubble Sisters/05. 버블시스터즈(Bubble Sisters) - 애원.flac,Bubble Sisters (버블시스터즈),애원,257.6,https://www.youtube.com/watch?v=mWAwklcndrY,
369,wcd_a-color-map-of-the-s_pretty-lights_mp3_320_30917444/Pretty Lights - A Color Map of the Sun - Deluxe Digital Download/Disc 1 - A Color Map of the Sun/1-13 My Only Hope.mp3,Pretty Lights,My Only Hope,292.36,https://www.youtube.com/watch?v=W-zEQoX8PYY,
370,wcd_2020--tmrevolution_tmrevolution_flac_24bit-lossless_33016360/T.M.Revolution ALL TIME BEST- FLAC/CD 3/07. DOUBLE-DEAL.flac,T.M.Revolution,DOUBLE-DEAL,295.53,https://www.youtube.com/watch?v=nPnvaLsXbmI,
371,"wcd_2012-04-20-variety-p_leftover-salmon_mp3_v0-vbr_31329642/Leftover Salmon - 2012-04-20 Atlanta, GA [V0]/los120420d2_01_Ask_The_Fish.mp3",Leftover Salmon,Ask The Fish,732.81,,
372,"wcd_2011-05-12---canal-s_rumpke-mountain-boys_mp3_320_29645093/Rumpke Mountain Boys - 2011-05-12 - Canal Street Tavern - Dayton, OH[320]/12 Molly Malone.mp3",Rumpke Mountain Boys,Molly Malone,186.41,,
373,wcd_a-long-time-coming_dj-proxxy_flac_lossless_30089927/DJ Proxxy - 2011 - A Long Time Coming - FLAC/14 - DJ Proxxy - Unknown Title - (FLAC).flac,DJ Proxxy,DJ Proxxy Unknown Title,270.46,https://www.youtube.com/watch?v=17ozSeGw-fY,
374,wcd_a-diamond-hidden-in-_cabaret-voltaire_mp3_320_30374743/Various Artists - A Diamond Hidden in the Mouth of a Corpse (MP3 320)/03 - Scum and Slime.mp3,Cabaret Voltaire,Scum & Slime,261.6,,
375,wcd_a-laube-des-jou_dawn--dusk-entwined_flac_lossless_31546275/Dawn & Dusk Entwined - (2011) - A l'aube des jours anciens/08 Dawn & Dusk Entwined - The Silver Dew of Telperion.flac,Dawn & Dusk Entwined,The Silver Dew of Telperion,232.05,,
376,wcd_1944-1945-chronolog_don-byas_flac_lossless_1031401/Don Byas - 1944-1945 (1996) [FLAC]/21 - Just A Dream.flac,Don Byas,Just A Dream,186.82,,
